Point ID,Easting,Northing,Height
Acton Town,69389.793,34235.356,108.500
Angel,82237.794,37864.173,121.000
Baker Street,78210.611,36864.960,135.000
Bank,83184.790,35739.274,111.500
Canary Wharf,88253.847,34411.061,107.000
Charing Cross,80522.556,35306.010,106.000
Cockfosters,79353.100,50443.052,185.000
Ealing Broadway,68286.467,36114.114,131.000
Elephant & Castle,82032.081,33667.218,109.000
Embankment,80770.007,35199.733,105.000
Green Park,79267.679,35137.481,116.000
Heathrow Terminals 2 & 3,57884.055,32273.583,125.000
King's Cross St. Pancras,80538.019,37906.959,123.000
London Bridge,83064.666,34941.898,105.000
Morden,75379.009,23729.265,125.000
North Greenwich,89246.117,34085.946,101.500
Oxford Circus,79292.853,36137.364,137.000
Paddington,76895.658,36297.738,133.000
Piccadilly Circus,79977.660,35519.823,127.000
Stratford,89064.502,38792.820,109.000
Victoria,79137.486,33940.138,112.000
Waterloo,81362.377,34884.676,106.000
Westminster,80552.412,34504.850,103.000
Wimbledon,75249.379,26533.987,120.000
