Point ID,Easting,Northing,Height
Acton Town,519100,179200,8.5
Angel,531850,183150,21.0
Baker Street,527850,182050,35.0
Bank,532850,181050,11.5
Canary Wharf,537950,179850,7.0
Charing Cross,530200,180550,6.0
Cockfosters,528650,195650,85.0
Ealing Broadway,517950,181050,31.0
Elephant & Castle,531750,178950,9.0
Embankment,530450,180450,5.0
Green Park,528950,180350,16.0
Heathrow Terminals 2 & 3,507650,176950,25.0
King's Cross St. Pancras,530150,183150,23.0
London Bridge,532750,180250,5.0
Morden,525350,168850,25.0
North Greenwich,538950,179550,1.5
Oxford Circus,528950,181350,37.0
Paddington,526550,181450,33.0
Piccadilly Circus,529650,180750,27.0
Stratford,538650,184250,9.0
Victoria,528850,179150,12.0
Waterloo,531050,180150,6.0
Westminster,530250,179750,3.0
Wimbledon,525150,171650,20.0
